custom_id,agent,task,kind,depth_frac,k,n_steps,success
opus41tc:task36#cp25,opus41tc,36,cp,0.3,3,10,1
opus41tc:task36#cp50,opus41tc,36,cp,0.5,5,10,1
opus41tc:task36#cp75,opus41tc,36,cp,0.8,8,10,1
opus41tc:task37#cp25,opus41tc,37,cp,0.3,3,10,1
opus41tc:task37#cp50,opus41tc,37,cp,0.5,5,10,1
opus41tc:task37#cp75,opus41tc,37,cp,0.8,8,10,1
opus41tc:task30#cp25,opus41tc,30,cp,0.28,5,18,1
opus41tc:task30#cp50,opus41tc,30,cp,0.5,9,18,1
opus41tc:task30#cp75,opus41tc,30,cp,0.78,14,18,1
opus41tc:task28#cp25,opus41tc,28,cp,0.25,4,16,1
opus41tc:task28#cp50,opus41tc,28,cp,0.5,8,16,1
opus41tc:task28#cp75,opus41tc,28,cp,0.75,12,16,1
opus41tc:task46#cp25,opus41tc,46,cp,0.27,8,30,0
opus41tc:task46#cp50,opus41tc,46,cp,0.5,15,30,0
opus41tc:task46#cp75,opus41tc,46,cp,0.77,23,30,0
opus41tc:task45#cp25,opus41tc,45,cp,0.31,4,13,0
opus41tc:task45#cp50,opus41tc,45,cp,0.54,7,13,0
opus41tc:task45#cp75,opus41tc,45,cp,0.77,10,13,0
gemflash:task36#cp25,gemflash,36,cp,0.27,3,11,1
gemflash:task36#cp50,gemflash,36,cp,0.55,6,11,1
gemflash:task36#cp75,gemflash,36,cp,0.82,9,11,1
gemflash:task37#cp25,gemflash,37,cp,0.27,3,11,1
gemflash:task37#cp50,gemflash,37,cp,0.55,6,11,1
gemflash:task37#cp75,gemflash,37,cp,0.82,9,11,1
gemflash:task30#cp25,gemflash,30,cp,0.31,4,13,0
gemflash:task30#cp50,gemflash,30,cp,0.54,7,13,0
gemflash:task30#cp75,gemflash,30,cp,0.77,10,13,0
gemflash:task28#cp25,gemflash,28,cp,0.25,3,12,0
gemflash:task28#cp50,gemflash,28,cp,0.5,6,12,0
gemflash:task28#cp75,gemflash,28,cp,0.75,9,12,0
gemflash:task46#cp25,gemflash,46,cp,0.27,7,26,0
gemflash:task46#cp50,gemflash,46,cp,0.5,13,26,0
gemflash:task46#cp75,gemflash,46,cp,0.77,20,26,0
gemflash:task45#cp25,gemflash,45,cp,0.33,3,9,0
gemflash:task45#cp50,gemflash,45,cp,0.56,5,9,0
gemflash:task45#cp75,gemflash,45,cp,0.78,7,9,0
