custom_id,level
chain-3-boat-1#seg0-2,2
chain-3-boat-1#seg0-3,2
chain-3-boat-1#seg0-4,2
chain-3-boat-1#seg1-3,1
chain-3-boat-1#seg1-4,2
chain-3-boat-1#seg1-5,2
chain-3-boat-1#seg2-4,2
chain-3-boat-1#seg2-5,2
chain-3-boat-1#seg2-6,2
chain-3-boat-1#seg3-5,2
chain-3-boat-1#seg3-6,2
chain-3-boat-1#seg3-7,2
chain-3-boat-1#seg4-6,1
chain-3-boat-1#seg4-7,1
chain-3-boat-1#seg5-7,1
chain-5-boat-2#seg0-2,2
chain-5-boat-2#seg0-3,2
chain-5-boat-2#seg0-4,3
chain-5-boat-2#seg1-3,1
chain-5-boat-2#seg1-4,2
chain-5-boat-2#seg1-5,2
chain-5-boat-2#seg2-4,2
chain-5-boat-2#seg2-5,2
chain-5-boat-2#seg2-6,2
chain-5-boat-2#seg3-5,2
chain-5-boat-2#seg3-6,2
chain-5-boat-2#seg3-7,2
chain-5-boat-2#seg4-6,2
chain-5-boat-2#seg4-7,2
chain-5-boat-2#seg4-8,2
chain-5-boat-2#seg5-7,2
chain-5-boat-2#seg5-8,2
chain-5-boat-2#seg5-9,2
chain-5-boat-2#seg6-8,2
chain-5-boat-2#seg6-9,2
chain-5-boat-2#seg6-10,2
chain-5-boat-2#seg7-9,2
chain-5-boat-2#seg7-10,2
chain-5-boat-2#seg7-11,2
chain-5-boat-2#seg8-10,2
chain-5-boat-2#seg8-11,2
chain-5-boat-2#seg9-11,2
complete-4-boat-3#seg0-2,2
complete-4-boat-3#seg0-3,2
complete-4-boat-3#seg0-4,2
complete-4-boat-3#seg1-3,2
complete-4-boat-3#seg1-4,2
complete-4-boat-3#seg1-5,2
complete-4-boat-3#seg2-4,2
complete-4-boat-3#seg2-5,2
complete-4-boat-3#seg2-6,2
complete-4-boat-3#seg3-5,2
complete-4-boat-3#seg3-6,2
complete-4-boat-3#seg3-7,2
complete-4-boat-3#seg4-6,2
complete-4-boat-3#seg4-7,2
complete-4-boat-3#seg4-8,2
complete-4-boat-3#seg5-7,2
complete-4-boat-3#seg5-8,2
complete-4-boat-3#seg5-9,2
complete-4-boat-3#seg6-8,2
complete-4-boat-3#seg6-9,2
complete-4-boat-3#seg7-9,2
cycle-4-boat-2#seg0-2,2
cycle-4-boat-2#seg0-3,2
cycle-4-boat-2#seg0-4,2
cycle-4-boat-2#seg1-3,2
cycle-4-boat-2#seg1-4,2
cycle-4-boat-2#seg1-5,2
cycle-4-boat-2#seg2-4,2
cycle-4-boat-2#seg2-5,2
cycle-4-boat-2#seg3-5,2
star-4-boat-2#seg0-2,2
star-4-boat-2#seg0-3,2
star-4-boat-2#seg0-4,2
star-4-boat-2#seg1-3,2
star-4-boat-2#seg1-4,2
star-4-boat-2#seg1-5,2
star-4-boat-2#seg2-4,2
star-4-boat-2#seg2-5,2
star-4-boat-2#seg3-5,2
missionaries-cannibals-3#seg0-2,2
missionaries-cannibals-3#seg0-3,2
missionaries-cannibals-3#seg0-4,2
missionaries-cannibals-3#seg1-3,2
missionaries-cannibals-3#seg1-4,2
missionaries-cannibals-3#seg1-5,2
missionaries-cannibals-3#seg2-4,2
missionaries-cannibals-3#seg2-5,2
missionaries-cannibals-3#seg2-6,2
missionaries-cannibals-3#seg3-5,2
missionaries-cannibals-3#seg3-6,2
missionaries-cannibals-3#seg3-7,2
missionaries-cannibals-3#seg4-6,2
missionaries-cannibals-3#seg4-7,2
missionaries-cannibals-3#seg4-8,2
missionaries-cannibals-3#seg5-7,2
missionaries-cannibals-3#seg5-8,2
missionaries-cannibals-3#seg5-9,2
missionaries-cannibals-3#seg6-8,2
missionaries-cannibals-3#seg6-9,2
missionaries-cannibals-3#seg6-10,2
missionaries-cannibals-3#seg7-9,2
missionaries-cannibals-3#seg7-10,2
missionaries-cannibals-3#seg7-11,2
missionaries-cannibals-3#seg8-10,2
missionaries-cannibals-3#seg8-11,2
missionaries-cannibals-3#seg9-11,2
