arm,item_id,judge,assigned
PLe_fix2_audit,I01,haiku,5
PLe_fix2_audit,I02,haiku,5
PLe_fix2_audit,I03,haiku,5
PLe_fix2_audit,I04,haiku,0
PLe_fix2_audit,I05,haiku,4
PLe_fix2_audit,I06,haiku,2
PLe_fix2_audit,I07,haiku,1
PLe_fix2_audit,I08,haiku,3
PLe_fix2_audit,I09,haiku,0
PLe_fix2_audit,I10,haiku,0
PLe_fix2_audit,I11,haiku,5
PLe_fix2_audit,I01,sonnet,5
PLe_fix2_audit,I02,sonnet,5
PLe_fix2_audit,I03,sonnet,5
PLe_fix2_audit,I04,sonnet,0
PLe_fix2_audit,I05,sonnet,4
PLe_fix2_audit,I06,sonnet,2
PLe_fix2_audit,I07,sonnet,1
PLe_fix2_audit,I08,sonnet,3
PLe_fix2_audit,I09,sonnet,0
PLe_fix2_audit,I10,sonnet,0
PLe_fix2_audit,I11,sonnet,5
PLe_fix2_audit,I01,opus,5
PLe_fix2_audit,I02,opus,5
PLe_fix2_audit,I03,opus,5
PLe_fix2_audit,I04,opus,0
PLe_fix2_audit,I05,opus,4
PLe_fix2_audit,I06,opus,2
PLe_fix2_audit,I07,opus,1
PLe_fix2_audit,I08,opus,3
PLe_fix2_audit,I09,opus,0
PLe_fix2_audit,I10,opus,0
PLe_fix2_audit,I11,opus,5
PLe_fix1_stress,N01,haiku,3
PLe_fix1_stress,N02,haiku,0
PLe_fix1_stress,N03,haiku,0
PLe_fix1_stress,N04,haiku,0
PLe_fix1_stress,N05,haiku,4
PLe_fix1_stress,N06,haiku,1
PLe_fix1_stress,N07,haiku,3
PLe_fix1_stress,N08,haiku,4
PLe_fix1_stress,N09,haiku,1
PLe_fix1_stress,N10,haiku,2
PLe_fix1_stress,S01,haiku,5
PLe_fix1_stress,S02,haiku,4
PLe_fix1_stress,S03,haiku,0
PLe_fix1_stress,S04,haiku,1
PLe_fix1_stress,S05,haiku,4
PLe_fix1_stress,S06,haiku,4
PLe_fix1_stress,T01,haiku,0
PLe_fix1_stress,T02,haiku,3
PLe_fix1_stress,T03,haiku,2
PLe_fix1_stress,T04,haiku,3
PLe_fix1_stress,T05,haiku,3
PLe_fix1_stress,T06,haiku,0
PLe_fix1_stress,T07,haiku,0
PLe_fix1_stress,T08,haiku,2
PLe_fix1_stress,N01,sonnet,4
PLe_fix1_stress,N02,sonnet,0
PLe_fix1_stress,N03,sonnet,0
PLe_fix1_stress,N04,sonnet,0
PLe_fix1_stress,N05,sonnet,4
PLe_fix1_stress,N06,sonnet,1
PLe_fix1_stress,N07,sonnet,3
PLe_fix1_stress,N08,sonnet,5
PLe_fix1_stress,N09,sonnet,1
PLe_fix1_stress,N10,sonnet,1
PLe_fix1_stress,S01,sonnet,5
PLe_fix1_stress,S02,sonnet,4
PLe_fix1_stress,S03,sonnet,0
PLe_fix1_stress,S04,sonnet,4
PLe_fix1_stress,S05,sonnet,5
PLe_fix1_stress,S06,sonnet,4
PLe_fix1_stress,T01,sonnet,0
PLe_fix1_stress,T02,sonnet,3
PLe_fix1_stress,T03,sonnet,4
PLe_fix1_stress,T04,sonnet,4
PLe_fix1_stress,T05,sonnet,2
PLe_fix1_stress,T06,sonnet,5
PLe_fix1_stress,T07,sonnet,3
PLe_fix1_stress,T08,sonnet,0
PLe_fix1_stress,N01,opus,4
PLe_fix1_stress,N02,opus,3
PLe_fix1_stress,N03,opus,3
PLe_fix1_stress,N04,opus,2
PLe_fix1_stress,N05,opus,4
PLe_fix1_stress,N06,opus,1
PLe_fix1_stress,N07,opus,3
PLe_fix1_stress,N08,opus,4
PLe_fix1_stress,N09,opus,4
PLe_fix1_stress,N10,opus,3
PLe_fix1_stress,S01,opus,5
PLe_fix1_stress,S02,opus,4
PLe_fix1_stress,S03,opus,0
PLe_fix1_stress,S04,opus,3
PLe_fix1_stress,S05,opus,4
PLe_fix1_stress,S06,opus,4
PLe_fix1_stress,T01,opus,0
PLe_fix1_stress,T02,opus,3
PLe_fix1_stress,T03,opus,4
PLe_fix1_stress,T04,opus,4
PLe_fix1_stress,T05,opus,3
PLe_fix1_stress,T06,opus,5
PLe_fix1_stress,T07,opus,3
PLe_fix1_stress,T08,opus,0
PLe_fix2_stress,N01,haiku,4
PLe_fix2_stress,N02,haiku,0
PLe_fix2_stress,N03,haiku,0
PLe_fix2_stress,N04,haiku,0
PLe_fix2_stress,N05,haiku,3
PLe_fix2_stress,N06,haiku,1
PLe_fix2_stress,N07,haiku,3
PLe_fix2_stress,N08,haiku,3
PLe_fix2_stress,N09,haiku,2
PLe_fix2_stress,N10,haiku,2
PLe_fix2_stress,S01,haiku,5
PLe_fix2_stress,S02,haiku,4
PLe_fix2_stress,S03,haiku,0
PLe_fix2_stress,S04,haiku,3
PLe_fix2_stress,S05,haiku,3
PLe_fix2_stress,S06,haiku,4
PLe_fix2_stress,T01,haiku,0
PLe_fix2_stress,T02,haiku,0
PLe_fix2_stress,T03,haiku,3
PLe_fix2_stress,T04,haiku,2
PLe_fix2_stress,T05,haiku,3
PLe_fix2_stress,T06,haiku,5
PLe_fix2_stress,T07,haiku,0
PLe_fix2_stress,T08,haiku,0
PLe_fix2_stress,N01,sonnet,4
PLe_fix2_stress,N02,sonnet,3
PLe_fix2_stress,N03,sonnet,3
PLe_fix2_stress,N04,sonnet,0
PLe_fix2_stress,N05,sonnet,4
PLe_fix2_stress,N06,sonnet,1
PLe_fix2_stress,N07,sonnet,3
PLe_fix2_stress,N08,sonnet,5
PLe_fix2_stress,N09,sonnet,1
PLe_fix2_stress,N10,sonnet,1
PLe_fix2_stress,S01,sonnet,5
PLe_fix2_stress,S02,sonnet,4
PLe_fix2_stress,S03,sonnet,0
PLe_fix2_stress,S04,sonnet,4
PLe_fix2_stress,S05,sonnet,5
PLe_fix2_stress,S06,sonnet,4
PLe_fix2_stress,T01,sonnet,0
PLe_fix2_stress,T02,sonnet,3
PLe_fix2_stress,T03,sonnet,3
PLe_fix2_stress,T04,sonnet,2
PLe_fix2_stress,T05,sonnet,3
PLe_fix2_stress,T06,sonnet,0
PLe_fix2_stress,T07,sonnet,3
PLe_fix2_stress,T08,sonnet,0
