arm,item_id,judge,assigned
PLe_current,I01,haiku,5
PLe_current,I02,haiku,5
PLe_current,I03,haiku,5
PLe_current,I04,haiku,0
PLe_current,I05,haiku,4
PLe_current,I06,haiku,2
PLe_current,I07,haiku,1
PLe_current,I08,haiku,3
PLe_current,I09,haiku,0
PLe_current,I10,haiku,0
PLe_current,I11,haiku,5
PLe_current,I01,sonnet,5
PLe_current,I02,sonnet,5
PLe_current,I03,sonnet,5
PLe_current,I04,sonnet,0
PLe_current,I05,sonnet,4
PLe_current,I06,sonnet,2
PLe_current,I07,sonnet,1
PLe_current,I08,sonnet,3
PLe_current,I09,sonnet,0
PLe_current,I10,sonnet,0
PLe_current,I11,sonnet,5
PLe_current,I01,opus,0
PLe_current,I02,opus,0
PLe_current,I03,opus,0
PLe_current,I04,opus,0
PLe_current,I05,opus,4
PLe_current,I06,opus,2
PLe_current,I07,opus,1
PLe_current,I08,opus,3
PLe_current,I09,opus,0
PLe_current,I10,opus,0
PLe_current,I11,opus,5
