custom_id,level,reason
chain-3-boat-1#s2,0,Current state fully visible; no hidden history to track.
chain-3-boat-2#s1,0,Current state fully visible; no hidden history to track.
chain-3-boat-3#s0,0,Initial-like state fully visible; nothing hidden to maintain.
chain-3-boat-4#s0,0,Current state fully visible; no hidden history to track.
chain-4-boat-2#s1,0,Current state fully visible; no hidden state maintenance.
chain-4-boat-3#s1,0,Current state fully visible; no hidden state maintenance.
chain-4-boat-4#s0,0,Current state fully visible; nothing hidden to track.
chain-5-boat-2#s2,0,Current state fully visible; no hidden history tracking.
chain-5-boat-3#s1,0,Current state fully visible; no hidden state to maintain.
chain-5-boat-4#s1,0,Current state fully visible; no hidden state to maintain.
chain-6-boat-3#s1,0,Current state fully visible; no hidden history tracking.
chain-6-boat-4#s1,0,Current state fully visible; no hidden history tracking.
star-3-boat-1#s2,0,Current state fully visible; no hidden history to track.
star-3-boat-2#s1,0,Current state fully visible; no hidden state maintenance.
star-3-boat-3#s0,0,Current state fully visible; nothing hidden to track.
star-3-boat-4#s0,0,Current state fully visible; nothing hidden to track.
star-4-boat-2#s2,0,Current state fully visible; no hidden state maintenance.
star-4-boat-3#s1,0,Current state fully visible; no hidden state maintenance.
star-4-boat-4#s0,0,Current state fully visible; nothing hidden to track.
star-5-boat-2#s2,0,Current state fully visible; no hidden state maintenance.
star-5-boat-3#s1,0,Current state fully visible; no hidden state to maintain.
star-5-boat-4#s1,0,Current state fully visible; no hidden state to maintain.
star-6-boat-2#s2,0,Current state fully visible; no hidden state maintenance.
star-6-boat-3#s2,0,Current state fully visible; no hidden state maintenance.
star-6-boat-4#s1,0,Current state fully visible; no hidden state to maintain.
cycle-3-boat-2#s1,0,Current state fully visible; no hidden history tracking.
cycle-3-boat-3#s0,0,Current state fully visible; nothing hidden to track.
cycle-3-boat-4#s0,0,Current state fully visible; nothing hidden to track.
cycle-4-boat-2#s1,0,Current state fully visible; no hidden state maintenance.
cycle-4-boat-3#s1,0,Current state fully visible; no hidden state maintenance.
cycle-4-boat-4#s0,0,Current state fully visible; nothing hidden to track.
cycle-5-boat-3#s1,0,Current state fully visible; no hidden state maintenance.
cycle-5-boat-4#s1,0,Current state fully visible; no hidden state maintenance.
cycle-6-boat-3#s1,0,Current state fully visible; no hidden state maintenance.
cycle-6-boat-4#s1,0,Current state fully visible; no hidden state maintenance.
complete-3-boat-2#s1,0,Current state fully visible; no hidden history tracking.
complete-3-boat-3#s0,0,Current state fully visible; nothing hidden to track.
complete-3-boat-4#s0,0,Current state fully visible; nothing hidden to track.
complete-4-boat-3#s1,0,Current state fully visible; no hidden state maintenance.
complete-4-boat-4#s0,0,Current state fully visible; nothing hidden to track.
complete-5-boat-4#s1,0,Current state fully visible; no hidden state maintenance.
missionaries-cannibals-3#s2,0,Current state fully visible; no hidden state maintenance.
missionaries-cannibals-4#s2,0,Current state fully visible; no hidden state maintenance.
